TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD
126,565,0,398,608,474,130,115,28,18,9,0,0,419,0,0,1,5,83,0,8,516,300,2,3,3.917458,1.499249,100,0,0,0,0,0,0,0,0.63,0.29,0,0,4
127,1240,13,0,281,742,319,231,65,37,18,0,0,117,1,2,0,9,188,33,13,363,670,2,3,4.170937,2.258682,100,0,0,0,0,0,9,0,1,0,0,3,4
128,877,0,0,241,718,342,136,49,19,7,0,0,101,0,0,4,32,131,39,8,315,553,2,3,3.051085,2.731186,100,0,0,0,0,0,0,0,0.69,0.31,0,0,4
129,272,0,0,0,196,52,63,16,6,4,0,0,0,1,0,7,47,133,92,16,296,141,2,3,2.411587,2.445794,100,0,0,0,0,0,0,0,0.69,0.31,0,0,4
130,2770,0,313,129,1988,801,601,148,52,21,0,137,184,0,63,27,71,772,347,15,1616,1623,2,3,2.045236,3.109673,100,0,0,0,0,0,0,0,0.62,0.31,0,0,4
131,3912,0,472,843,3092,1103,927,176,67,30,0,0,548,0,28,18,291,773,12,0,1670,2303,2,3,1.845091,4.397668,100,0,0,0,0,0,0,0,0.54,0.37,0,0,4
132,455,0,1072,567,1048,183,99,17,3,2,0,12,682,1,10,2,8,777,44,0,1536,304,2,3,1.713767,5.983199,100,0,0,0,0,0,0,0,0.43,0.38,0,3,4
133,152,46,2545,264,711,43,25,3,1,0,0,65,1169,10,16,0,145,2452,2414,143,6414,72,2,3,2.58132,5.791008,100,0,0,0,0,0,32,0,0.43,0.38,0,3,4
134,27,17,1059,0,6,0,2,2,0,0,0,7,441,0,0,3,60,28,78,0,617,4,2,3,4.18163,2.266939,100,0,0,0,0,0,12,0,0.43,0.38,0,3,4
135,148,0,1564,414,634,69,33,3,1,0,0,94,823,16,17,10,185,1387,268,0,2800,106,2,3,3.594862,1.392485,100,0,0,0,0,0,0,0,0.43,0.38,0,0,4
136,55,0,5673,368,116,22,12,3,0,0,0,26,2514,2,44,50,49,5010,1016,0,8711,37,2,3,3.192425,1.141974,100,0,0,0,0,0,0,0,0.43,0.38,0,0,4
137,0,0,0,0,0,0,0,0,0,0,0,24,0,2,3,3,44,120,893,25,1114,0,2,3,3.486418,1.338125,100,0,0,0,0,0,0,0,0.43,0.38,0,0,4
138,9,9,0,0,0,0,0,0,0,0,0,89,0,0,0,1,180,16,99,24,409,0,3,0.5,0,2.432755,100,0,0,0,0,0,6,99,0,0,0,3,5
139,3423,236,0,0,1541,489,512,233,142,70,0,26,0,0,10,12,23,155,89,32,347,1446,3,0.5,0,1,100,0,0,0,1111,1,163,89,0,0,0,1,5
140,432,0,0,0,227,94,58,30,17,10,0,26,0,0,1,7,43,224,110,24,435,209,3,0.5,5.727775,1.296867,100,0,0,0,0,0,0,110,0,0,0,0,5
141,827,0,0,0,457,160,140,54,26,17,0,35,0,0,0,16,42,36,24,16,169,397,3,0.5,2.443774,1.506185,100,0,0,0,0,0,0,24,0,0,0,0,3
142,564,129,0,0,295,176,60,21,5,9,0,10,0,0,11,2,85,485,130,28,751,271,3,0.5,2.885097,1.390865,100,0,0,0,0,1,89,130,0,0,0,1,25
143,2400,4,0,0,1214,430,416,169,71,59,0,24,0,0,3,62,10,124,14,26,263,1145,3,0.5,2.823893,1.549001,100,0,0,0,332,1,3,14,0,0,0,1,3
