TAZ,POP,GQ,HR,RC,HU,HH1,HH2,HH3,HH4,HH5,MILI,GOVT,HOTEL,AG,TCU,INDUS,FIRE,SERV,RETAIL,CSTR,TOTALEMP,TOTALHH,TERMTYPE,TERMTIME,WORK_DAILY,NONWRK_HRLY,PERCWLK,PRV_UNIV_ENROLL,PUB_UNIV_ENROLL,PRV_K12_ENROLL,PUB_K12_ENROLL,SCHOOLS,GQWRK,NONVISRET,VISPRCAUTO,VISPRCTOUR,MILI_BASE,GQTYPE,TD,SHRWRKPKGPROVIDED
124,1847,0,116,0,1280,451,358,110,44,31,0,0,49,0,0,1,2,89,0,3,144,994,2,3,3.780431,1.576005,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
125,45,0,0,118,53,9,6,2,2,2,0,0,50,2,1,3,0,170,485,144,855,21,2,3,3.727468,1.55095,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
126,725,0,398,596,596,150,123,47,26,15,0,20,414,0,1,0,5,73,0,8,521,361,2,3,3.917458,1.499249,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
127,1254,13,0,221,752,310,223,72,37,23,0,0,92,1,4,0,7,123,26,12,265,665,2,3,4.170937,2.258682,100,0,0,0,0,0,11,0,1,0,0,3,4,0.441860465
128,957,0,0,241,718,331,149,54,25,11,0,0,101,0,0,4,31,125,39,8,308,570,2,3,3.051085,2.731186,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
129,311,0,0,0,196,55,65,18,7,8,0,0,0,1,0,7,47,132,90,16,293,153,2,3,2.411587,2.445794,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
130,2807,0,313,84,1987,798,599,148,56,25,0,120,166,0,63,29,63,725,332,18,1516,1626,2,3,2.045236,3.109673,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
131,3960,0,465,0,3094,1117,904,176,80,35,0,0,194,0,13,10,141,370,6,0,734,2312,2,3,1.845091,4.397668,100,0,0,0,0,0,0,0,1,0,0,0,4,0.441860465
132,782,0,896,150,1091,227,142,44,17,13,0,17,436,2,9,2,7,619,39,0,1131,443,2,3,1.713767,5.983199,100,0,0,0,0,0,7,0,0,0,0,3,4,0.441860465
133,432,46,2545,267,688,95,60,21,12,11,0,70,1170,10,20,2,143,2485,2405,152,6457,199,2,3,2.58132,5.791008,100,0,0,0,0,0,0,0,0,0,0,3,4,0.441860465
134,33,17,1059,0,6,1,2,2,0,1,0,13,441,0,0,3,59,30,76,0,622,6,2,3,4.18163,2.266939,100,0,0,0,0,0,19,0,0,0,0,3,4,0.441860465
135,397,0,1561,268,632,121,67,19,7,10,0,117,761,13,49,15,231,1457,231,11,2885,224,2,3,3.594862,1.392485,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
136,144,0,5673,126,168,42,27,12,3,0,0,25,2413,2,44,50,47,4759,966,0,8306,84,2,3,3.192425,1.141974,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
137,0,0,0,0,0,0,0,0,0,0,0,24,0,2,3,3,43,118,883,25,1101,0,2,3,3.486418,1.338125,100,0,0,0,0,0,0,0,0,0,0,0,4,0.441860465
138,9,9,0,0,0,0,0,0,0,0,0,94,0,0,2,3,181,45,100,26,451,0,3,1,0,2.432755,100,0,0,0,0,0,0,174,0,0,0,3,5,0.874251497
